,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2004-09-30,200.0,202.5,197.5,200.0,139.18679809570312,270690000,BBCA.JK,117.58557,140.92662048339844,0.0,-1.7398223876953125
2004-10-06,230.0,230.0,222.5,227.5,158.32496643066406,270080000,BBCA.JK,137.09735,156.58514404296875,0.0,1.7398223876953125
2004-10-08,222.5,227.5,222.5,225.0,156.58514404296875,288950000,BBCA.JK,141.11185,158.32496643066406,0.0,-1.7398223876953125
2004-10-28,242.5,242.5,235.0,240.0,167.02413940429688,277050000,BBCA.JK,152.60744,167.02413940429688,0.0,0.0
2004-10-29,240.0,240.0,237.5,240.0,167.02413940429688,126340000,BBCA.JK,146.63008,172.24365234375,0.0,-5.219512939453125
2004-11-09,250.0,252.5,250.0,250.0,173.9834747314453,65960000,BBCA.JK,166.13922,184.42250061035156,0.0,-10.43902587890625
2004-11-15,275.0,275.0,275.0,275.0,191.38182067871094,0,BBCA.JK,175.33603,191.38182067871094,0.0,0.0
2004-11-26,267.5,267.5,257.5,262.5,186.12948608398438,555880000,BBCA.JK,175.00351,193.22012329101562,0.0,-7.09063720703125
2004-12-02,275.0,280.0,272.5,272.5,193.22012329101562,569090000,BBCA.JK,182.71346,193.22012329101562,0.0,0.0
2004-12-06,270.0,272.5,270.0,272.5,193.22012329101562,80250000,BBCA.JK,183.15836,191.447509765625,0.0,1.772613525390625
2004-12-07,272.5,272.5,267.5,270.0,191.447509765625,144530000,BBCA.JK,181.74094,191.447509765625,0.0,0.0
2004-12-30,297.5,297.5,290.0,297.5,210.9467315673828,116110000,BBCA.JK,191.32405,210.9467315673828,0.0,0.0
2005-02-01,287.5,292.5,287.5,292.5,207.40142822265625,170990000,BBCA.JK,195.20038,207.40142822265625,0.0,0.0
2005-02-02,292.5,295.0,290.0,292.5,207.40142822265625,350620000,BBCA.JK,194.32913,210.9467315673828,0.0,-3.5453033447265625
2005-02-15,300.0,307.5,300.0,307.5,218.0373992919922,429560000,BBCA.JK,203.32364,223.3553466796875,0.0,-5.3179473876953125
2005-02-25,332.5,332.5,330.0,330.0,233.99134826660156,499650000,BBCA.JK,218.77922,232.21876525878906,0.0,1.7725830078125
2005-03-03,320.0,332.5,320.0,332.5,235.76409912109375,331170000,BBCA.JK,226.47012,237.53668212890625,0.0,-1.7725830078125
2005-03-09,347.5,347.5,335.0,335.0,237.53668212890625,476220000,BBCA.JK,219.89859,235.76409912109375,0.0,1.7725830078125
2005-03-14,335.0,337.5,327.5,335.0,237.53668212890625,409390000,BBCA.JK,227.2789,253.49064636230472,0.0,-15.953964233398466
2005-03-17,377.5,377.5,362.5,370.0,262.3539123535156,523960000,BBCA.JK,242.8934,262.3539123535156,0.0,0.0
2005-03-31,335.0,342.5,335.0,340.0,241.0820770263672,1196590000,BBCA.JK,244.59657,241.0820770263672,0.0,0.0
